mssv,namsinh,gioitinh,namnhaphoc,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,diachi_tinhtp,xeploai_diemtt,avxl,diem_tt,diemchuan_dgnl,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhk8,dtbhk9,dtbhk10,dtbhk11,dtbhk12,xeploai_hk1,xeploai_hk2,xeploai_hk3,xeploai_hk4,xeploai_hk5,xeploai_hk6,xeploai_hk7,xeploai_hk8,xeploai_hk9,xeploai_hk10,xeploai_hk11,xeploai_hk12
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THCS&THPT,Khu vực 3, Tỉnh Tây Ninh,3,ENGBT,21.75,,6.45,5.86,6.54,5.67,2.27,5.52,6.17,4.83,,,,,Trung bình khá,Trung bình,Trung bình khá,Trung bình,Kém,Trung bình,Trung bình khá,Yếu,,,,
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1998.0,0.0,2016.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,4,ENG01,20.75,,8.19,7.95,8.38,8.41,8.0,7.65,8.22,7.65,,,,,Giỏi,Khá,Giỏi,Giỏi,Giỏi,Khá,Giỏi,Khá,,,,
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1998.0,1.0,2016.0,0.0,11.0,HTTT2016,CQUI,0,THCS&THPT,Khu vực 2, Tỉnh Bình Phước,3,ENG01,22.75,,4.73,1.79,4.02,3.89,4.3,0.89,,,,,,,Yếu,Kém,Yếu,Kém,Yếu,Kém,,,,,,
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1, Thành phố Trà Vinh,1,ENG01,25.0,,7.44,7.51,,,7.24,7.15,7.24,7.23,8.15,8.4,,,Khá,Khá,,,Khá,Khá,Khá,Khá,Giỏi,Giỏi,,
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Ngãi,3,ENG01,21.75,,6.89,5.85,7.3,6.86,7.55,7.39,7.13,7.21,,,,,Trung bình khá,Trung bình,Khá,Trung bình khá,Khá,Khá,Khá,Khá,,,,
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1998.0,1.0,2016.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG01,22.0,,7.86,6.76,7.62,7.25,5.95,7.63,5.7,8.28,,,,,Khá,Trung bình khá,Khá,Khá,Trung bình,Khá,Trung bình,Giỏi,,,,
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1998.0,1.0,2016.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,3,ENG01,21.0,,7.18,5.66,5.64,6.33,4.58,4.78,7.06,7.8,,,,,Khá,Trung bình,Trung bình,Trung bình khá,Yếu,Yếu,Khá,Khá,,,,
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,Chuyên,Khu vực 2, Tỉnh Tiền Giang,3,ENG01,22.75,,7.38,5.17,6.63,6.69,5.83,6.54,6.44,6.03,,,8.0,0.42,Khá,Trung bình,Trung bình khá,Trung bình khá,Trung bình,Trung bình khá,Trung bình khá,Trung bình khá,,,Giỏi,Kém
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1993.0,1.0,2016.0,-5.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Phường An Lạc,3,ENG01,21.75,,8.32,5.82,4.83,3.45,5.19,3.48,5.7,1.46,7.38,4.58,0.0,1.6,Giỏi,Trung bình,Yếu,Kém,Trung bình,Kém,Trung bình,Kém,Khá,Yếu,Kém,Kém
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1998.0,1.0,2016.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,2,ENG02,23.75,,5.78,6.16,7.97,7.74,7.3,7.17,6.98,7.57,,,,,Trung bình,Trung bình khá,Khá,Khá,Khá,Khá,Trung bình khá,Khá,,,,
